Epoch	Time(sec)	Loss_train(MSE,normalized)	Error_dev(MAE,eV)	Error_test(MAE,eV)
1	0.03820708499961256	4.615825057029724	6.572360229492188	9.549731636047364
2	0.08198089899997285	4.0596699714660645	6.31666259765625	9.041752052307128
3	0.12211594199970932	3.792368620634079	5.55841178894043	8.285854911804199
4	0.16175056899965057	3.539933830499649	5.245793151855469	7.620906639099121
5	0.19999927099979686	3.259553700685501	5.85247802734375	7.708888816833496
6	0.23890125599973544	3.2066527605056763	4.604234313964843	6.659955406188965
7	0.2765823879999516	3.2460318729281425	4.433395767211914	6.301321029663086
8	0.3116674109996893	3.0782743394374847	6.59713306427002	6.941416549682617
9	0.3483455629998389	2.890728771686554	4.607827377319336	5.816337966918946
10	0.3858977539998705	2.8230167627334595	6.169095230102539	5.911434555053711
